Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
SNAr,O=[N+]([O-])C1=CC=C(NC2=CC=C(C=C2)C)N=C1C,NC1=CC=C(C)C=C1,O=[N+](C1=CC=C(F)N=C1C)[O-],['AM-I'],AM-I,1.0,,84.58178482464032,48.15941585632005,66.54320412543557,,,,1.0,0.9848005923669233,0.9648651160324896,0.7056730965170526,0.6755721062900111,0.7887333201851381,,,,,,,,,,,,
SNAr,O=[N+]([O-])C1=CC=CC=C1N(CC2)CCC2N3CCCCC3,C1(N2CCCCC2)CCNCC1,O=[N+](C1=CC=CC=C1F)[O-],"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,52.21808913422148,38.89840029069025,68.53056289229157,,,,1.0,0.6767945468052974,1.0,0.7536232279185655,0.4176182289043895,0.942181546663168,,,,90.81372679139076,67.11876430241202,80.55152504294801,,,,,,
SNAr,N#CC1=CC=CC=C1N(CC2)CCC2N3CCCCC3,C1(N2CCCCC2)CCNCC1,N#CC1=CC=CC=C1F,['AM-I'],AM-I,1.0,,51.0177468623267,38.89840029069025,66.40488346112784,,,,1.0,0.7267144797602433,0.9886183506741025,0.6312943817998211,0.6291197593599501,0.9303201506797965,,,,,,,,,,,,
SNAr,O=C(OCC)C1=CN=C(NC2=CC=CN=C2C)N=C1,CC1=NC=CC=C1N,O=C(C1=CN=C(Cl)N=C1)OCC,['AM-VI'],AM-VI,1.0,,,,,,,,0.9943300213585551,0.7919700098787,0.6904569177617188,0.9721525620646174,0.7063219668051947,1.0,,,,,,,63.17382053367339,48.772584267634045,74.58415803053445,,,
acylation,COc1ccc(NC(=O)c2ccc3nccnc3c2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc2nccnc2c1,['AM-I'],AM-I,1.0,,58.770579703173894,37.3584481987548,48.55718525365703,,,,1.0,0.5805567263825553,0.7836680763027893,0.86745333626017,0.6600581218067489,0.9660977913650469,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc(C(F)(F)F)cn1,"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,69.66513405325257,37.3584481987548,53.81650331551455,,,,1.0,0.7349574799274587,1.0,0.9445932671183854,0.7043296406078561,0.9763139753811888,,,,85.19098733850029,61.14871524369332,75.86835190351971,,,,,,
acylation,CN(C(=O)c1ccc(C(F)(F)F)cn1)c1ccc(F)cc1,CNc1ccc(F)cc1,O=C(O)c1ccc(C(F)(F)F)cn1,['AM-VI'],AM-VI,1.0,,,,,,,,0.9678777314142977,0.7445832641568781,0.9734534108057042,0.976233279633547,0.3868687733773666,1.0,,,,,,,86.2640502588187,69.87509843847891,59.13173142733413,,,
acylation,COc1ccc(NC(=O)c2cc3ccccc3o2)cn1,COc1ccc(N)cn1,O=C(O)c1cc2ccccc2o1,"['AM-I', 'AM-III']","AM-I, AM-III",1.0,,76.91160467757696,37.3584481987548,62.248259691989226,,,,1.0,0.7560174449908934,1.0,0.8261854287405541,0.8624277657029104,0.969134223193737,,,,81.60942589825049,61.14871524369332,70.52840639866628,,,,,,
acylation,Cc1ccc(CNC(=O)c2cc3ccccc3o2)cc1,Cc1ccc(CN)cc1,O=C(O)c1cc2ccccc2o1,['AM-I'],AM-I,1.0,,81.53479817494495,45.0875933616963,62.248259691989226,,,,1.0,0.822548875043081,0.9608424723744663,0.9520671751567049,0.5474802460053338,0.9642313450198787,,,,,,,,,,,,
acylation,Cc1ccc(S(=O)(=O)NC(=O)C2c3ccccc3Oc3ccccc32)cc1,Cc1ccc(S(N)(=O)=O)cc1,O=C(O)C1c2ccccc2Oc2ccccc21,['AM-III'],AM-III,1.0,,,,,,,,0.6697619677898026,0.7830016866966575,1.0,0.6652389077379568,0.7408243459739288,0.8981433019580441,,,,91.80920986194616,66.99941900882311,79.63650697014793,,,,,,
