Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
acylation,COc1ccc(NC(=O)Cc2ccc(C)cc2)cn1,COc1ccc(N)cn1,Cc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,1,,71.57409821562304,37.66017850268299,59.34774039700491,,,,1,0.6663643279858404,0.8711150739924265,0.7500411395502948,0.8707294421082389,0.8166758817985582,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)COc2ccccc2)cn1,COc1ccc(N)cn1,O=C(O)COc1ccccc1,['AM-I'],AM-I,1,,66.25160538768208,37.66017850268299,54.43219105475764,,,,1,0.7987970296550493,0.9125756947633703,0.7794251478728572,0.6974712110996351,0.8557128036762435,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)Cc2cc(F)cc(F)c2)cn1,COc1ccc(N)cn1,O=C(O)Cc1cc(F)cc(F)c1,['AM-I'],AM-I,1,,74.70269768990883,37.66017850268299,63.254901340215596,,,,1,0.6968379124412234,0.8578968353983897,0.7200554773897678,0.8589558982515227,0.8223517910584013,,,,,,,,,,,,
acylation,COc1ccc(NC(=O)C(C)c2ccc(CC(C)C)cc2)cn1,COc1ccc(N)cn1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,"['AM-I', 'AM-III']","AM-I, AM-III",1,,84.17048027900151,37.66017850268299,72.78527462974726,,,,1,0.615611896185107,1,0.8229194432296313,0.9475939805517105,0.8060386113239154,,,,98.9919566651813,62.5147453701524,89.33637099251455,,,,,,
acylation,Cc1ccc(N(C(=O)C(C)c2ccc(CC3CCCC3=O)cc2)c2ccccc2)cc1,Cc1ccc(Nc2ccccc2)cc1,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,['AM-VI'],AM-VI,0.9964279844353785,,,,,,,,0.898895666881762,0.797957025903485,0.9937384153699558,0.9120511190293598,0.8479803368494624,0.9964279844353785,,,,,,,105.22633173051753,81.455039737129,73.30375063528308,,,
acylation,CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,NCc1ccccc1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,['AM-III'],AM-III,1,,,,,,,,0.9382733156226678,0.650514655430377,1,0.8475208627452123,0.8531684395255724,0.909307430230046,,,,97.20792030845229,68.0363871500965,86.58994241666517,,,,,,
acylation,O=C(NCc1ccccc1)C1c2ccccc2Oc2ccccc21,NCc1ccccc1,O=C(O)C1c2ccccc2Oc2ccccc21,['AM-III'],AM-III,1,,,,,,,,0.8064115402112695,0.7044963974245153,1,0.8359565612285876,0.7740800715347141,0.902429893645145,,,,92.8233672154052,68.0363871500965,81.09700408858345,,,,,,
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccccc1,NCc1ccccc1,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,['AM-III'],AM-III,1,,,,,,,,0.842210696043869,0.6155532030333579,1,0.7471799733231304,0.6031482505256258,0.8950479720079271,,,,87.59181137839184,68.0363871500965,77.4412633307831,,,,,,
acylation,O=C(NCc1ccccc1)c1ccc([N+](=O)[O-])cc1,NCc1ccccc1,O=C(O)c1ccc([N+](=O)[O-])cc1,['AM-I'],AM-I,1,,72.04741377087154,45.73286677423033,59.566891654619305,,,,1,0.7170303705506169,0.9666044108793549,0.834546652249065,0.5150635676132316,0.6650609115972939,,,,,,,,,,,,
acylation,Cc1cc(C)cc(C(=O)NCc2ccc(F)cc2F)c1,NCc1ccc(F)cc1F,Cc1cc(C)cc(C(=O)O)c1,['AM-I'],AM-I,1,,80.1931060097043,50.219137711829,65.764050401661,,,,1,0.8097801361534951,0.9732561008753854,0.9247805106249921,0.8268434610826294,0.962136384975879,,,,,,,,,,,,
acylation,COc1ccc2cc(C(C)C(=O)NCc3ccc(F)cc3F)ccc2c1,NCc1ccc(F)cc1F,COc1ccc2cc(C(C)C(=O)O)ccc2c1,"['AM-I', 'AM-VI']","AM-I, AM-VI",1,,82.76286449539923,50.219137711829,72.01381797122653,,,,1,0.7424097884827872,0.9977901347665168,0.9237627715867434,0.7268317919465923,1,,,,,,,92.08706341931594,68.88679538381506,79.68189194230604,,,
acylation,CC(C)(C(=O)NCc1ccc(F)cc1F)c1ccccc1,NCc1ccc(F)cc1F,CC(C)(C(=O)O)c1ccccc1,['AM-I'],AM-I,1,,82.434256840827,50.219137711829,63.380856167868835,,,,1,0.8730925916656873,0.9773497493534726,0.964161364540449,0.6477779803289971,0.9706252030089397,,,,,,,,,,,,
acylation,O=C(NCc1ccc(F)cc1F)C(c1ccccc1)c1ccccc1,NCc1ccc(F)cc1F,O=C(O)C(c1ccccc1)c1ccccc1,"['AM-I', 'AM-III']","AM-I, AM-III",1,,85.84234774813092,50.219137711829,70.5609086136408,,,,1,0.7379616429896185,1,0.9592190090580462,0.7737075341861845,0.981605682773431,,,,96.00804292673064,71.54557849717949,82.62082296370707,,,,,,
acylation,O=C(Cc1ccc(C(F)(F)F)cc1)NCc1ccc(F)cc1F,NCc1ccc(F)cc1F,O=C(O)Cc1ccc(C(F)(F)F)cc1,['AM-I'],AM-I,1,,76.84830364501983,50.219137711829,65.17068741064963,,,,1,0.6841973588221931,0.9954520995216709,0.9435128974741465,0.7480494390754162,0.9719074727784884,,,,,,,,,,,,
acylation,Cc1ccc(CC(=O)NCc2ccco2)cc1,NCc1ccco1,Cc1ccc(CC(=O)O)cc1,['AM-I'],AM-I,0.9264048241725247,,66.64769183539023,38.57876220056498,59.34774039700491,,,,0.9264048241725247,0.8550148675503852,0.8582392075802945,0.7830241898372944,0.7463614808842396,0.8275137082403319,,,,,,,,,,,,
acylation,O=C(NCc1ccco1)c1ccc(C(F)(F)F)cn1,NCc1ccco1,O=C(O)c1ccc(C(F)(F)F)cn1,['AM-I'],AM-I,1,,66.57726339081054,38.57876220056498,52.09007174565476,,,,1,0.7181312501417088,0.9086941227182126,0.7907113542023285,0.6450166373140379,0.8414424442700406,,,,,,,,,,,,
