SMILES,UV_RT-s,Method
OC(CC)C#CC1=CN=CC=C1N,62.4,AM-IV
C1(/C=C/C2=CC=NC=C2)=NC=CC=C1,62.4,AM-IV
CN1N=CC(/C=C/C2=CC=NC=C2)=C1,62.4,AM-IV
CC1=NC=C(/C=C/C2=NC=CC=C2)C=C1,62.4,AM-IV
CC1=NC=C(/C=C/C(N2CCOCC2)=O)C=C1,62.4,AM-IV
C1(/C=C/C2=CC=NC=C2)=CC=CC3=C1C=CN=C3,62.4,AM-IV
FC1=CC=CN=C1CNC(C)(C)C,62.4,AM-IV
NC(C1=CC=CN=C1C2=CC=C(O2)C=O)=O,61.8,AM-IV
CC1=CN=C(C2=CN=C(N=C2)N)C=C1,61.8,AM-IV
NC1=CC=CN=C1C2=CC=CC=C2OC,61.8,AM-IV
CC1=CC=C(C2=NC=CC=C2)C(C)=N1,61.8,AM-IV
CC(C1=NC=CC(OC)=C1)=C,61.8,AM-IV
CC1=CN=C(C2=C(NN=C2C)C)C=C1,61.8,AM-IV
CC1=NC=C(C2=CC=C3NN=NC3=C2)C=C1,61.8,AM-IV
O=CC1=CC=C(C=C1OC)OC2=CN=CN2C,61.8,AM-IV
CC1=CC(/C=C/C2=CC=NC=C2)=NC=C1,61.8,AM-IV
C1(/C=C/C2=NC=CC=C2)=CN3C(C=C1)=NC=C3,61.8,AM-IV
CC1=CC=C(/C=C/C(N2CCOCC2)=O)C(C)=N1,61.8,AM-IV
CN(C)C(/C=C/C1=CN2C(C=C1)=NC=C2)=O,61.8,AM-IV
CC1=NC=CC(C2=COC=C2)=C1,61.2,AM-IV
N#CC1=CC=CN=C1N(CC2)CCN2C,61.2,AM-IV
CC1=NC=CC(C2=CN(N=C2)C)=C1,61.2,AM-IV
CC1=CN=C(C2=C(NN=C2C)C)C=C1,61.2,AM-IV
CC1=NN=C(C2=CNN=C2)C=C1,61.2,AM-IV
CC1=NC=C(/C=C/C2=NC=CC=C2)C=C1,61.2,AM-IV
CNC(C1=CC=C(NC2=CC=NC=C2)C=C1)=O,61.2,AM-IV
Cc1cnc(Nc2ccccn2)nc1,60.6,AM-IV
NC1=CC=C(C2=NC=CC=C2)C=C1,60.6,AM-IV
OC1=CC=C(C2=CC(C)=NC=C2)C(N)=C1,60.6,AM-IV
C=CC1=NC=CC=C1OC,60.6,AM-IV
CC1=NC=CC(C2=CN(N=C2)C)=C1,60.6,AM-IV
OC(C1=CC(C(C=C2)=CC=C2N)=NC=C1)=O,60.6,AM-IV
CN(C)C(/C=C/C1=CN2C(C=C1)=NC=C2)=O,60.6,AM-IV
N#CC1=CC=C(C=C1)C(NCC2=CC=NC=C2)C,60.6,AM-IV
C1(NCC2=CC=NC=C2)CCCCC1,60.6,AM-IV
OC(C1=CN=C(C=N1)Cl)=O,60,AM-IV
CC1=NC=C(NC2=CC=C3N=CC=CC3=C2)C=C1,60,AM-IV
CC1=NC2=CC=CC=C2C=C1,60,AM-IV
O=CN1CCN(C(CC2=CC=C3N=CC=CC3=C2)=O)CC1,60,AM-IV
O=[N+]([O-])C1=CC=CC=C1N2C=CN=C2C,60,AM-IV
O=C(OC)C1=NC=CC(NC2=CC=NC=C2)=C1,60,AM-IV
CC1=NC=CC(/C=C/C(N2CCOCC2)=O)=C1,60,AM-IV
CN1C(/C=C/C(NC(C)C)=O)=CN=C1,60,AM-IV
FC1=CC=CN=C1CNCCC2=NC=CC=C2,60,AM-IV
NC1=CC=C(C2=NC=CC=C2)C=C1,59.4,AM-IV
NC1=NC=NC(C2=C(N=CC=C2)F)=C1,59.4,AM-IV
CC(C1=NC(C)=CC=C1)C,59.4,AM-IV
CN(C(CCC(OC)=O)=O)CC1=CC=CN=C1,59.4,AM-IV
NC1=C2C(C3=CN(N=C3)C)=NNC2=NC=N1,59.4,AM-IV
CC1=CC=C(/C=C/C(N(C)C)=O)C(C)=N1,59.4,AM-IV
CCC1=NC(C)=CC(C)=C1N,58.8,AM-IV
CC1=CC=C(/C=C/C(N(C)C)=O)C(C)=N1,58.8,AM-IV
CC1=NC=CC=C1NC2=CN3C(N=C2)=CC=N3,58.2,AM-IV
O=C(C1=CC=C(C2=CC=NC=C2)C=C1)N,57.6,AM-IV
OC1CN(C2=C3C(C=CS3)=NC=N2)C1,57,AM-IV
NC(C#CC1=CC=CN=C1)=O,57,AM-IV
ClC(N(N=C1C)C)=C1CNCC2=CC=NC=C2,57,AM-IV
OCC1=NC=C(C2=CN(N=C2)C)C=C1,56.4,AM-IV
C1(NC2=CC=NC=C2)=NOC=C1,56.4,AM-IV
OC(C1=NN(C=C1C2=CN=C(C=C2)C)C)=O,55.8,AM-IV
OC(C1=NN(C=C1C2=CN=C(C=C2)C)C)=O,55.2,AM-IV
NC1=NC=NC(C2=CC=NN2C)=C1,54,AM-IV
NC1=NC=NC(C2=CC=NN2C)=C1,53.4,AM-IV
