feature,importance
fp_648,13.99636459350586
fp_913,13.99583625793457
fp_685,13.972023963928223
fp_118,13.955253601074219
fp_718,13.844627380371094
fp_379,13.728602409362793
fp_630,13.728511810302734
fp_1003,13.678906440734863
fp_303,13.631153106689453
fp_948,13.619213104248047
fp_79,13.550237655639648
fp_891,13.543388366699219
fp_31,13.420602798461914
col779,13.371739387512207
fp_474,13.24422550201416
fp_516,13.19891357421875
fp_837,13.183635711669922
fp_714,13.108650207519531
fp_703,13.100210189819336
fp_127,13.030588150024414
col804,13.001280784606934
fp_743,12.95618724822998
fp_628,12.950474739074707
fp_847,12.922470092773438
fp_186,12.875900268554688
fp_815,12.858173370361328
fp_250,12.845871925354004
fp_288,12.790984153747559
col729,12.77487850189209
fp_884,12.770380973815918
fp_83,12.764583587646484
fp_984,12.732540130615234
fp_395,12.698708534240723
fp_409,12.670599937438965
fp_416,12.657390594482422
fp_384,12.65137767791748
fp_262,12.629717826843262
fp_209,12.531769752502441
fp_263,12.514822006225586
fp_85,12.51069164276123
fp_295,12.471113204956055
fp_711,12.44530200958252
fp_27,12.274721145629883
fp_961,12.2550687789917
fp_651,12.193020820617676
fp_860,12.159523963928223
fp_669,12.118341445922852
fp_206,12.087095260620117
fp_781,11.982927322387695
fp_601,11.785219192504883
fp_259,11.73134994506836
fp_769,11.689251899719238
fp_946,11.63088321685791
fp_518,11.565220832824707
fp_705,11.510881423950195
fp_555,11.461626052856445
fp_635,11.458745956420898
fp_24,11.41601276397705
col378,11.390517234802246
fp_901,11.37798023223877
fp_968,11.376688003540039
fp_666,11.1990385055542
fp_215,11.197368621826172
fp_117,11.165680885314941
fp_993,11.095118522644043
fp_785,10.914666175842285
fp_271,10.880684852600098
fp_282,10.86074447631836
fp_373,10.832362174987793
fp_270,10.811551094055176
fp_702,10.751965522766113
fp_220,10.637358665466309
fp_204,10.426594734191895
fp_940,10.39803695678711
fp_722,10.328264236450195
fp_557,10.245438575744629
fp_654,10.240204811096191
fp_358,10.147637367248535
fp_530,10.09532642364502
fp_804,10.082655906677246
fp_603,10.046608924865723
fp_876,9.949440956115723
fp_104,9.74537467956543
fp_294,9.656021118164062
fp_334,9.636266708374023
fp_341,9.572432518005371
fp_164,9.555886268615723
fp_1022,9.524070739746094
fp_956,9.431681632995605
fp_816,9.41679573059082
fp_843,9.410629272460938
fp_836,9.397207260131836
fp_575,9.387718200683594
fp_751,9.383993148803711
fp_599,9.364958763122559
fp_609,9.352103233337402
fp_770,9.309721946716309
fp_87,9.276759147644043
fp_74,9.163622856140137
fp_1020,9.156003952026367
col335,9.147310256958008
fp_165,9.131115913391113
fp_441,9.128158569335938
fp_641,9.1176118850708
fp_482,9.039093971252441
fp_618,9.036702156066895
fp_776,9.029763221740723
fp_999,8.990849494934082
fp_13,8.936964988708496
fp_78,8.922712326049805
fp_505,8.89040756225586
fp_721,8.882452011108398
fp_283,8.875916481018066
fp_478,8.869754791259766
fp_52,8.733806610107422
fp_614,8.701186180114746
fp_323,8.673548698425293
fp_975,8.582077026367188
fp_1006,8.562297821044922
fp_689,8.518600463867188
fp_988,8.50939655303955
fp_30,8.478151321411133
col328,8.428177833557129
fp_427,8.417954444885254
fp_819,8.356915473937988
fp_502,8.331849098205566
fp_53,8.319059371948242
fp_594,8.27183723449707
fp_148,8.20164680480957
fp_424,8.19952392578125
fp_607,8.185441970825195
fp_116,8.185418128967285
fp_586,8.144109725952148
fp_560,8.120172500610352
fp_336,8.108918190002441
fp_133,8.091346740722656
fp_764,8.040173530578613
fp_485,7.963677883148193
fp_771,7.937429904937744
fp_47,7.890082359313965
col817,7.861678600311279
fp_265,7.8062543869018555
fp_67,7.7526421546936035
