y_true,y_pred,smiles
66.150375,74.93495,COC1=NC=C(C2=CC=C(C#N)C=C2)C=N1
70.8,75.09544,COC1=NC=C(C2=NC3=CC=CC=C3C=C2)C(OC)=N1
87.6,81.99172,COC1=NC(OC)=NC=C1C2=CC3=CC=CC=C3O2
82.8,82.46438,CN(C(C=C1)=CC=C1OC)C2=CC=CC=C2
72.6,72.02181,CC1=CC=C(C2=NC=NC(C)=C2)C=C1
55.8,57.838257,COC1=NC=C(N(C=N2)C3=C2C=CC=C3)C=C1
88.65196,87.96308,COC1=CC=CC(C2=NC3=CC=CC=C3C(C(OC)=O)=C2)=C1
79.2,78.873314,CN(C1=CC=C(C(C2=CC=CC=C2)=O)C=C1)C
78.6,87.46346,COC1=CC=CC=C1C(C=CC(OC)=N2)=C2C
93.0,84.64257,COC1=CC=C(C=C1)C#CC(C=C2)=CC=C2N(C)C
90.6,88.03963,CC1=CC(C2=NC3=CC=CC=C3C=C2)=CC(C)=C1
59.4,61.06887,O=C(O)C1=CN=C(C2=CC=CC(C(C)=O)=C2)N=C1
66.6,66.87053,COC1=CC=C(C2=CC=C3N=CC=CC3=C2)C=C1F
73.8,81.45653,CN(C1=CN=C(OC)C=C1)C2=CC=C(F)C=C2
72.6,75.73821,OC1(C#CC2=CN=C(OC)N=C2OC)CCCCC1
78.6,77.36822,FC1=C(C(S2)=CC=C2C)N=C(N=C1)Cl
78.0,80.25443,CC1=NNC=C1C2=CC(C3=CC=CC=C3)=CC=C2
61.2,57.937157,COC1=CC=C(OC)C(C2=CC3=C(C=NC=C3)C=C2)=C1
84.05164,78.18655,ClC1=CC(C(N=C2)=NC=C2OC)=CC=C1
66.6,67.45378,CC1=CC=C(C2=CN=CN=C2)S1
67.2,78.938614,COC1=C(C=C(C(C=C2)=NC=C2C)C=C1C)C
101.4,99.09225,CC(C)(C1=CC=C(N2CC(C=CC=C3)=C3CC2)C=C1)C
50.949955,50.7163,COC1=CC=C(C2=NC=CC=C2C)C=C1
85.2,89.96818,CN(CCCC1=CC=CC=C1)C2=CC=CC=C2
81.0,85.500984,CC1=NNC=C1C2=CC3=C(C=C2)C(C=CC=C4)=C4C3(C)C
46.8,56.84484,CCC(N=C1)=NC=C1OC
76.2,74.73751,N#CC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=C1C(F)(F)F
94.252365,92.78129,CC1=CC(C2=NC(OC)=CC=C2)=CC(C)=C1
45.0,48.275322,COC1=CC=CC=C1C2=CC=NC=C2
62.4,64.59734,O=CC1=CC(OC)=C(C2=CC=NN2C)C(OC)=C1
45.0,49.41812,COC1=CC(C2=CC=NC=C2)=CC=C1
53.4,50.546494,OC(C1=CC(C2=NC=CC=C2)=CC=C1)=O
83.4,83.71737,COC1=C(C=C(C2=NC=CS2)C=C1C)C
61.8,65.461174,COC1=CC=C(C2=CN=C(C=C2)N3CCOCC3)C=C1F
57.6,57.330273,COC1=CC=C(C2=NC=C3C(NC=C3)=N2)C=N1
64.2,70.96866,COC1=CC=CC=C1C(C=C23)=CC=C3N=CC=C2C
75.6,73.54836,CC1=C(C2=CC=C(F)C=C2C)C=NN1C
53.4,59.1179,OCC1=CC=C(C2=CC=CC(S(C)(=O)=O)=C2)N=C1
