row_dir,Reaction_type,P,S1,S2,Exp_method,Pro_RT,Sub1_RT,Sub2_RT,exp-RT-P,exp-RT-S1,exp-RT-S2,pred_best_methods,pred_best_score,exp_score,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI
row_26,B-H,COC(=O)c1ccccc1Nc1ccc(OC)nc1,NC1=CC=C(OC)N=C1,O=C(OC)C1=CC=CC=C1Br,AM-VI,1.67,0.2267,1.496,100.2,13.602,89.76,"AM-I, AM-VI",1.0,0.9827776800727831,85.18185247352818,37.3584481987548,72.61791287762881,,,,,,,,,,69.70144865622373,55.75953087676367,82.77960709337354,1.0,0.6891884827535302,0.8909797848277847,0.72118235767164,0.9130480289642695,1.0
row_27,B-H,Cc1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,CC1=CC=CC=C1Br,AM-VI,1.46,0.45,1.71,87.6,27.0,102.6,AM-VI,1.0,0.9968491913781162,,,,,,,,,,,,,71.9112901535639,56.78072418217124,84.66013189092217,0.8898893821058173,0.9832214954770377,0.7392873930267907,0.7069057313274403,0.852522267511979,1.0
row_28,B-H,CC1=CC(C)=NC(NC2=CC=C(C=N2)OC)=N1,NC1=NC(C)=CC(C)=N1,COc1cnc(Br)cc1,AM-I,0.74,0.18,1.02,44.4,10.8,61.2,"AM-I, AM-VI",1.0,0.9798348248199437,51.41908169831594,33.531577518781546,61.78473213944336,,,,,,,,,,65.57724868265149,55.44514450279431,76.33757015510339,1.0,0.6443229658272637,0.8822761014675217,0.5026323393123533,0.5587594503623647,1.0
row_29,B-H,CC1=CC(C)=CC(NC(C=C2)=NC=C2C)=N1,CC1=CC(C)=CC(N)=N1,CC1=CN=C(Br)C=C1,AM-I,0.88,0.2,1.07,52.8,12.0,64.2,AM-I,1.0,0.9810951482686971,44.39606123495921,30.309405108750553,55.96533311467256,,,,,,,,,,,,,1.0,0.931567928686891,0.8032045374834302,0.6621140455517791,0.7560683568723421,0.9859298004904737
row_30,B-H,COC(C(C)=C1)=CC=C1NC2=CN=C(SC)N=C2C(OC)=O,NC1=CC=C(OC)C(C)=C1,O=C(C1=NC(SC)=NC=C1Br)OC,AM-I,1.41,0.2,1.17,84.6,12.0,70.2,AM-I,1.0,0.9810951482686971,84.58180021660188,49.27457655015108,71.83001640679429,,,,,,,,,,,,,1.0,0.9189387624351091,0.9661848504088449,0.9037271706733018,0.6335609111721234,0.754571211073961
row_31,B-H,O=CC(S1)=CN=C1NC2=CN=CC3=C2C=CC=C3,NC1=NC=C(C=O)S1,BrC1=CN=CC2=C1C=CC=C2,AM-I,0.81,0.24,1.23,48.6,14.4,73.8,AM-I,1.0,0.9836157951662042,48.61757210011643,35.9228275577105,59.38883258736653,,,,,,,,,,,,,1.0,0.7164030024765858,0.9206364520288207,0.5291387777422661,0.5743155767489709,0.9247232238507768
row_32,acylation,COc1ccc(NC(=O)c2ccc3nccnc3c2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc2nccnc2c1,AM-I,0.9783,0.2258,0.7308,58.698,13.548,43.848,AM-I,1.0,0.9827209655175891,58.770579703173894,37.3584481987548,48.55718525365703,,,,,,,,,,,,,1.0,0.5805567263825553,0.7836680763027893,0.86745333626017,0.6600581218067489,0.9660977913650469
row_33,acylation,COc1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc(C(F)(F)F)cn1,AM-I,1.26,0.2258,0.9158,75.6,13.548,54.948,"AM-I, AM-III",1.0,0.9827209655175891,69.66513405325257,37.3584481987548,53.81650331551455,,,,85.19098733850029,61.14871524369332,75.86835190351971,,,,,,,1.0,0.7349574799274587,1.0,0.9445932671183854,0.7043296406078561,0.9763139753811888
row_34,acylation,CN(C(=O)c1ccc(C(F)(F)F)cn1)c1ccc(F)cc1,CNc1ccc(F)cc1,O=C(O)c1ccc(C(F)(F)F)cn1,AM-VI,1.4675,0.32,1.1117,88.05,19.2,66.702,AM-VI,1.0,0.9886570889612183,,,,,,,,,,,,,86.2640502588187,69.87509843847891,59.13173142733413,0.9678777314142977,0.7445832641568781,0.9734534108057042,0.976233279633547,0.3868687733773666,1.0
row_35,acylation,COc1ccc(NC(=O)c2cc3ccccc3o2)cn1,COc1ccc(N)cn1,O=C(O)c1cc2ccccc2o1,AM-I,1.19,0.2258,0.99,71.4,13.548,59.4,"AM-I, AM-III",1.0,0.9827209655175891,76.91160467757696,37.3584481987548,62.248259691989226,,,,81.60942589825049,61.14871524369332,70.52840639866628,,,,,,,1.0,0.7560174449908934,1.0,0.8261854287405541,0.8624277657029104,0.969134223193737
row_36,acylation,Cc1ccc(CNC(=O)c2cc3ccccc3o2)cc1,Cc1ccc(CN)cc1,O=C(O)c1cc2ccccc2o1,AM-I,1.3375,0.29,0.99,80.25,17.4,59.4,AM-I,1.0,0.986766603788088,81.53479817494495,45.0875933616963,62.248259691989226,,,,,,,,,,,,,1.0,0.822548875043081,0.9608424723744663,0.9520671751567049,0.5474802460053338,0.9642313450198787
row_37,acylation,Cc1ccc(S(=O)(=O)NC(=O)C2c3ccccc3Oc3ccccc32)cc1,Cc1ccc(S(N)(=O)=O)cc1,O=C(O)C1c2ccccc2Oc2ccccc21,AM-III,1.5567,0.9467,1.4,93.402,56.802,84.0,AM-III,1.0,1.0,,,,,,,91.80920986194616,66.99941900882311,79.63650697014793,,,,,,,0.6697619677898026,0.7830016866966575,1.0,0.6652389077379568,0.7408243459739288,0.8981433019580441
row_38,acylation,Cc1ccc(S(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)cc1,Cc1ccc(S(N)(=O)=O)cc1,O=C(O)C(c1ccccc1)c1ccccc1,AM-III,1.59,0.9467,1.39,95.4,56.802,83.4,AM-III,1.0,1.0,,,,,,,93.59074749761939,66.99941900882311,81.30656609627442,,,,,,,0.9793964270325879,0.8650904130655879,1.0,0.8511276117337092,0.8577455471988394,0.9276318878580171
row_39,acylation,Cc1ccc(CNC(=O)/C=C/c2ccccc2)cc1,Cc1ccc(CN)cc1,O=C(O)/C=C/c1ccccc1,AM-I,1.2984,0.29,1.0458,77.904,17.4,62.748,AM-I,1.0,0.986766603788088,82.00695883602869,45.0875933616963,60.46867708320963,,,,,,,,,,,,,1.0,0.8290650440698221,0.969679134992362,0.966138531302983,0.7095316155963419,0.9488214130275909
