Reaction_type,P,S1,S2
acylation,COc1ccc(NC(=O)C2CN(C(=O)OCc3ccccc3)C2)cn1,COc1ccc(N)cn1,O=C(O)C1CN(C(=O)OCc2ccccc2)C1
acylation,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)Nc1ccc([N+](=O)[O-])cn1,Nc1ccc([N+](=O)[O-])cn1,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O
acylation,Cc1c(C(=O)Nc2ccc([N+](=O)[O-])cn2)oc2ccccc12,Nc1ccc([N+](=O)[O-])cn1,Cc1c(C(=O)O)oc2ccccc12
acylation,O=C(Nc1ccc([N+](=O)[O-])cn1)C1C[C@H]1c1ccccc1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)C1C[C@H]1c1ccccc1
acylation,O=C(Nc1ccc([N+](=O)[O-])cn1)c1cc(Cl)cc(Cl)n1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,O=C(Nc1ccc([N+](=O)[O-])cn1)C1CCC(F)(F)CC1,Nc1ccc([N+](=O)[O-])cn1,O=C(O)C1CCC(F)(F)CC1
acylation,CC(=O)c1ccc(NC(=O)c2ccccc2Cc2ccccc2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)c1ccccc1Cc1ccccc1
acylation,CC(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)c1ccc([N+](=O)[O-])s1
acylation,CC(=O)c1ccc(NC(=O)c2oc3ccccc3c2C)cc1,CC(=O)c1ccc(N)cc1,Cc1c(C(=O)O)oc2ccccc12
acylation,CC(=O)c1ccc(NC(=O)C2C(C)(C)C2(C)C)cc1,CC(=O)c1ccc(N)cc1,CC1(C)C(C(=O)O)C1(C)C
acylation,CC(=O)c1ccc(NC(=O)C2C[C@H]2c2ccccc2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)C1C[C@H]1c1ccccc1
acylation,CC(=O)c1ccc(NC(=O)c2cc(Cl)cc(Cl)n2)cc1,CC(=O)c1ccc(N)cc1,O=C(O)c1cc(Cl)cc(Cl)n1
acylation,CC(=O)c1ccc(NC(=O)C2CC3(CC3)CN2C(=O)OC(C)(C)C)cc1,CC(=O)c1ccc(N)cc1,CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O
