Reaction_type,P,S1,S2
B-H,COC(=O)c1ccc(Nc2ccccc2C(=O)c2ccccc2)cc1F,O=C(OC)C1=CC=C(N)C=C1F,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,O=C(c1ccccc1)c1ccccc1NC1CC1,NC1CC1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,[O-][N+](C(C=C1)=CN=C1NC2=CC=CC=C2C(C3=CC=CC=C3)=O)=O,NC1=NC=C([N+]([O-])=O)C=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,CC(C)c1ccc(Nc2ccc(cn2)[N+]([O-])=O)cc1,NC1=NC=C([N+]([O-])=O)C=C1,CC(C1=CC=C(Br)C=C1)C
B-H,CC(C)c1ccc(Nc2nc(C)cc(C)n2)cc1,NC1=NC(C)=CC(C)=N1,CC(C1=CC=C(Br)C=C1)C
B-H,CC(C)c1ccc(Nc2cncnc2C)cc1,NC1=CN=CN=C1C,CC(C1=CC=C(Br)C=C1)C
B-H,CC(C)c1ccc(Nc2ccccc2S(=O)(=O)C(C)C)cc1,O=S(C1=CC=CC=C1N)(C(C)C)=O,CC(C1=CC=C(Br)C=C1)C
B-H,CC(C)CNc1ccc(cc1)C(C)C,NCC(C)C,CC(C1=CC=C(Br)C=C1)C
B-H,CC(C)Nc1ccc(cc1)C(C)C,NC(C)C,CC(C1=CC=C(Br)C=C1)C
B-H,CC(C)c1ccc(NC2CCCCC2)cc1,NC1CCCCC1,CC(C1=CC=C(Br)C=C1)C
B-H,COC(=O)c1cc(F)ccc1Nc1ccc(F)cc1C,O=C(OC)C1=CC(F)=CC=C1N,CC1=CC(F)=CC=C1Br
B-H,COc1ccc(Nc2ccc(F)cc2C)cn1,NC1=CC=C(OC)N=C1,CC1=CC(F)=CC=C1Br
B-H,Cc1cc(F)ccc1Nc1ccc(cn1)[N+]([O-])=O,NC1=NC=C([N+]([O-])=O)C=C1,CC1=CC(F)=CC=C1Br
B-H,Cc1cc(F)ccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,CC1=CC(F)=CC=C1Br
B-H,Cc1ccc(Nc2ccc(F)cc2C)nc1,NC1=NC=C(C)C=C1,CC1=CC(F)=CC=C1Br
B-H,COC(=O)c1ccc(Nc2ccc3nccnc3c2)nc1,NC1=CC=C2N=CC=NC2=C1,O=C(OC)C1=CN=C(Br)C=C1
B-H,COC(=O)c1ccc(Nc2cncnc2C)nc1,NC1=CN=CN=C1C,O=C(OC)C1=CN=C(Br)C=C1
B-H,Cc1ccc(Nc2ccnc(C)c2)nc1,NC1=NC=C(C)C=C1,CC1=NC=CC(Br)=C1
B-H,CC(C)S(=O)(=O)c1ccccc1Nc1cncc2ccccc12,O=S(C1=CC=CC=C1N)(C(C)C)=O,BrC1=CN=CC2=C1C=CC=C2
B-H,C1CCC(CC1)Nc1cncc2ccccc12,NC1CCCCC1,BrC1=CN=CC2=C1C=CC=C2
B-H,[O-][N+](C(C=C1NC2=CN=CC3=C2C=CC=C3)=C(C=C1OC)F)=O,NC1=CC([N+]([O-])=O)=C(F)C=C1OC,BrC1=CN=CC2=C1C=CC=C2
B-H,CN(C)c1cccc(Nc2ccccc2CO)c1,OCC1=CC=CC=C1N,CN(C)C1=CC=CC(Br)=C1
B-H,CN(C)c1cccc(Nc2ccc(cn2)[N+]([O-])=O)c1,NC1=NC=C([N+]([O-])=O)C=C1,CN(C)C1=CC=CC(Br)=C1
B-H,CN(C)c1cccc(Nc2ccc(CO)cc2)c1,NC1=CC=C(C=C1)CO,CN(C)C1=CC=CC(Br)=C1
B-H,CN(C)c1cccc(Nc2ccc3ncccc3c2)c1,NC1=CC=C2N=CC=CC2=C1,CN(C)C1=CC=CC(Br)=C1
B-H,CN(C)c1cccc(Nc2ccncc2)c1,NC1=CC=NC=C1,CN(C)C1=CC=CC(Br)=C1
B-H,CN(C)c1cccc(Nc2cccc(F)n2)c1,NC1=NC(F)=CC=C1,CN(C)C1=CC=CC(Br)=C1
B-H,CC(C)CNc1cccc(c1)N(C)C,NCC(C)C,CN(C)C1=CC=CC(Br)=C1
B-H,CC(C)Oc1ncccc1Nc1ccc(C)cc1,NC1=CC=C(C)C=C1,CC(OC1=NC=CC=C1Br)C
B-H,COC(=O)c1cc(F)ccc1Nc1cccnc1OC(C)C,O=C(OC)C1=CC(F)=CC=C1N,CC(OC1=NC=CC=C1Br)C
B-H,[O-][N+](C(C=C1)=CN=C1NC2=CC=CN=C2OC(C)C)=O,NC1=NC=C([N+]([O-])=O)C=C1,CC(OC1=NC=CC=C1Br)C
B-H,COc1cc(F)c(cc1Nc1cccnc1OC(C)C)[N+]([O-])=O,NC1=CC([N+]([O-])=O)=C(F)C=C1OC,CC(OC1=NC=CC=C1Br)C
B-H,CCc1ccc(NCc2cccc3ccccc23)cc1,NC1=CC=C(CC)C=C1,BrCC1=C2C=CC=CC2=CC=C1
B-H,Cc1ccc(Nc2ccc(F)cc2C)cc1I,NC1=CC=C(C)C(I)=C1,CC1=CC(F)=CC=C1Br
B-H,Cc1ccc(Nc2ccccc2C(=O)c2ccccc2)cc1I,NC1=CC=C(C)C(I)=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,CC1=CN=C(N(C2=CC=CC=C2)C(C)C)N=C1,CC(NC1=CC=CC=C1)C,CC1=CN=C(N=C1)Cl
B-H,CC1=CC(N2C=CC3=C2C=CC(C#N)=C3)=NC=C1,N#CC1=CC=C2NC=CC2=C1,CC1=CC(Cl)=NC=C1
B-H,COC1=CN=C(N2C=NC3=C2C=CC=C3)N=C1,C12=CC=CC=C1NC=N2,COC1=CN=C(N=C1)Cl
B-H,CCC(=O)C1=CC=C(N(CC)C2=CC=CC(C)=C2)C=C1,CC1=CC(NCC)=CC=C1,CCC(C1=CC=C(C=C1)Cl)=O
B-H,CC(=O)C1=CC=C(N(C2=CC=CC=C2)C2=CC3=C(C=C2)C2=C(C=CC=C2)C3(C)C)S1,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(NC4=CC=CC=C4)=C2,ClC1=CC=C(S1)C(C)=O
B-H,CC(=O)C1=CC=C(N(C2=CC=C(C)C=C2)C2=CC=C(C)C=C2)S1,CC1=CC=C(NC2=CC=C(C)C=C2)C=C1,ClC1=CC=C(S1)C(C)=O
B-H,COC(=O)c1ccc(Nc2cc(C)ccc2C)cc1OC,O=C(OC)C1=CC=C(N)C=C1OC,CC1=CC=C(C(Cl)=C1)C
B-H,COc1ccc(Nc2cc(C)ccc2C)cc1,NC1=CC=C(OC)C=C1,CC1=CC=C(C(Cl)=C1)C
B-H,CC1=CC(C)=C(NC2=C(C(O)=O)C=CN=C2)C=C1,NC1=CC=C(C)C=C1C,O=C(C1=CC=NC=C1Cl)O
B-H,OC(C1=CC=NC=C1N(C2=CC=CC=C2)C3=CC=CC=C3)=O,C1(NC2=CC=CC=C2)=CC=CC=C1,O=C(C1=CC=NC=C1Cl)O
B-H,OC(C1=CC=NC=C1NCC23CC4CC(C3)CC(C2)C4)=O,NCC12CC3CC(C2)CC(C3)C1,O=C(C1=CC=NC=C1Cl)O
B-H,Cc1ccc(C)c(NCc2ccccc2F)c1,NCC1=CC=CC=C1F,CC1=CC=C(C(Cl)=C1)C
B-H,COc1cc(F)c(cc1Nc1cc(C)ccc1C)[N+]([O-])=O,NC1=CC([N+]([O-])=O)=C(F)C=C1OC,CC1=CC=C(C(Cl)=C1)C
B-H,CC1=CC(C)=NC(NC2=NC=C(C(F)(F)F)C=N2)=C1,CC1=CC(C)=CC(N)=N1,FC(F)(F)C1=CN=C(N=C1)Cl
B-H,CC1=C(OC)C=CC(NC2=NC=C(C=N2)C(F)(F)F)=C1,NC1=CC=C(OC)C(C)=C1,FC(F)(F)C1=CN=C(N=C1)Cl
B-H,CC1=NC=CN1C2=CC=C(NC3=NC=C(C(F)(F)F)C=N3)C=C2,NC1=CC=C(N2C=CN=C2C)C=C1,FC(F)(F)C1=CN=C(N=C1)Cl
B-H,COC(C1=C(F)C=C(NC2=NC=C(C(F)(F)F)C=N2)C=C1)=O,O=C(OC)C1=CC=C(N)C=C1F,FC(F)(F)C1=CN=C(N=C1)Cl
B-H,CC1=NC=CN1C2=CC=C(NC3=C([N+]([O-])=O)C=CC=C3[N+]([O-])=O)C=C2,NC1=CC=C(N2C=CN=C2C)C=C1,O=[N+]([O-])C1=C(C([N+]([O-])=O)=CC=C1)Cl
B-H,CC(C1=CC(C)=C(NC2=CC3=NC=CN=C3C=C2)C=C1)=O,NC1=CC=C2N=CC=NC2=C1,CC(C1=CC=C(C(C)=C1)Cl)=O
B-H,CCOC(=O)c1cccc(Nc2ccc(cc2C)C(C)=O)c1,O=C(OCC)C1=CC=CC(N)=C1,CC(C1=CC=C(C(C)=C1)Cl)=O
B-H,CC(C1=CC(C)=C(NC2=NC(C)=CC(C)=C2)C=C1)=O,CC1=CC(C)=CC(N)=N1,CC(C1=CC=C(C(C)=C1)Cl)=O
B-H,CC(C=C1)=CC=C1NC(C(C)=C2)=CC=C2C(C)=O,NC1=CC=C(C)C=C1,CC(C1=CC=C(C(C)=C1)Cl)=O
B-H,CC(C)CNc1ccc(cc1C)C(C)=O,NCC(C)C,CC(C1=CC=C(C(C)=C1)Cl)=O
B-H,CC1=NC(NC2=NC=CC(C(F)(F)F)=C2)=NC(C)=C1,NC1=NC(C)=CC(C)=N1,FC(F)(F)C1=CC(Cl)=NC=C1
B-H,CC1=C(NC2=NC3=CC=CC=C3C=C2)C=C(I)C=C1,NC1=CC(I)=CC=C1C,ClC1=NC2=CC=CC=C2C=C1
B-H,COC1=CC(NC2=NC3=CC=CC=C3C=C2)=C(OC)C=C1,NC1=CC(OC)=CC=C1OC,ClC1=NC2=CC=CC=C2C=C1
B-H,N#CC1=CC=C(C=C1)NC2=CNN=C2C,N#CC1=CC=C(N)C=C1,CC1=NNC=C1Br
B-H,FC1=CC(NC2=CC(C(OC)=O)=CC=N2)=CC=C1,NC1=CC=CC(F)=C1,O=C(OC)C1=CC=NC(Br)=C1
B-H,CC1=CC(C)=CC(NC2=CC=CC=C2)=N1,CC1=CC(C)=CC(N)=N1,BrC1=CC=CC=C1
B-H,C1(NC2=CN=C3NC=CC3=N2)=CC=C4N=CC=NC4=C1,NC1=CC=C2N=CC=NC2=C1,BrC1=CN=C2NC=CC2=N1
B-H,FC1=NC=C(NC(C=C2)=CC3=C2NN=C3C)C=C1,FC1=NC=C(C=C1)N,CC1=NNC2=C1C=C(Br)C=C2
B-H,O=C(C1=CC=C(C=C1)NC(C=C2)=CC(OC)=C2C=O)OC,O=C(OC)C1=CC=C(N)C=C1,O=CC1=C(C=C(C=C1)Br)OC
B-H,CC1(C)c2ccccc2-c2ccc(Nc3ccc4nccnc4c3)cc12,NC1=CC=C2N=CC=NC2=C1,CC1(C)C2=C(C3=C1C=CC=C3)C=CC(Br)=C2
B-H,CC1=CC(NC(C=CC2=C3)=CC2=NN3C)=NO1,NC1=NOC(C)=C1,CN1N=C2C=C(Br)C=CC2=C1
B-H,CC(C=CC1=CC=C2)=NC1=C2NC3=CC4=C(C=C3)C=NC=C4,NC1=C2N=C(C=CC2=CC=C1)C,BrC1=CC2=C(C=NC=C2)C=C1
B-H,ClC(C=C1)=CN=C1NC2=C3OC=CC3=CC=C2,NC1=NC=C(C=C1)Cl,BrC1=C(OC=C2)C2=CC=C1
B-H,O=C(c1ccccc1)c1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,O=C(C1=CC=CC=C1Br)C2=CC=CC=C2
B-H,COC(C=C1)=CC=C1NC(C=C2)=NC=C2C,NC1=CC=C(OC)C=C1,CC1=CN=C(Br)C=C1
B-H,C1(NC2=CN3C(C=C2)=NC=N3)=CC=C4N=CC=NC4=C1,NC1=CC=C2N=CC=NC2=C1,BrC1=CN2C(C=C1)=NC=N2
B-H,CC1=CC(C)=CC(NC2=CC=C3SC=NC3=C2)=N1,CC1=CC(C)=CC(N)=N1,BrC1=CC=C(SC=N2)C2=C1
B-H,COC1=CC=C(OC)C(NC2=CC=NC3=CC=CC=C23)=C1,NC1=CC(OC)=CC=C1OC,BrC1=CC=NC2=CC=CC=C12
B-H,COC(C(C)=C1)=CC=C1NC2=CN=CC(CO)=C2,NC1=CC=C(OC)C(C)=C1,OCC1=CC(Br)=CN=C1
B-H,[O-][N+](C(C=C(C=C1C)C)=C1NC2=CC(N(C)C)=CC=C2)=O,NC1=C([N+]([O-])=O)C=C(C)C=C1C,CN(C)C1=CC=CC(Br)=C1
B-H,FC(F)(F)C1=CC=CC(NC(C=C2)=NC=C2C)=C1,NC1=CC(C(F)(F)F)=CC=C1,CC1=CN=C(Br)C=C1
B-H,FC1=NC=C(NC2=CC3=C(C=C2)C=NC=C3)C=C1,FC1=NC=C(C=C1)N,BrC1=CC2=C(C=NC=C2)C=C1
B-H,ClC(C=C1)=CN=C1NC2=CN3C(C=C2)=NC=C3,NC1=NC=C(C=C1)Cl,BrC1=CN2C(C=C1)=NC=C2
B-H,FC(F)(F)C1=CC=C(C(F)(F)F)C(NC2=NC3=CC=CC=C3N=C2)=C1,NC1=CC(C(F)(F)F)=CC=C1C(F)(F)F,BrC1=NC2=CC=CC=C2N=C1
B-H,CC1=NC=CC(NC(C=C2)=NC=C2C)=C1,CC1=NC=CC(N)=C1,CC1=CN=C(Br)C=C1
B-H,FC1=CC(NC2=CN=C3C=CC=NN32)=CC=C1,NC1=CC=CC(F)=C1,BrC1=CN=C2C=CC=NN21
B-H,[O-][N+](C1=CC=C(C)C(NC(C=CC2=C3)=CC2=NN3C)=C1)=O,NC1=CC([N+]([O-])=O)=CC=C1C,CN1N=C2C=C(Br)C=CC2=C1
B-H,N#CC(C=C1)=NC=C1NC2=NC3=CC=CC=C3C=C2,NC1=CN=C(C=C1)C#N,BrC1=NC2=CC=CC=C2C=C1
B-H,ClC(C=C1)=CN=C1NC2=CC3=C(C=NN3)C=C2,NC1=NC=C(C=C1)Cl,BrC1=CC2=C(C=C1)C=NN2
B-H,CSC(C=C1)=CC=C1NC2=CC=CC(C=O)=N2,NC1=CC=C(SC)C=C1,O=Cc1nc(Br)ccc1
Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OC2CN(CCC2)CC,OC1CN(CC)CCC1,O=C(O)Cc1cc(F)c(F)cc1F
Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OCC2=CC=CN=C2OC,OCC1=CC=CN=C1OC,O=C(O)Cc1cc(F)c(F)cc1F
Carboxylic-Acid-Esterification,O=C(OCC1OCCC1)C2=CC=NN2C(C)C,OCC1OCCC1,O=C(C1=CC=NN1C(C)C)O
Carboxylic-Acid-Esterification,O=C(OCC1=NC=CC(Cl)=C1)COC2=CC=CC=C2,OCC1=NC=CC(Cl)=C1,O=C(COC1=CC=CC=C1)O
Carboxylic-Acid-Esterification,O=C(C1CC2=C(C=CC=C2)C1)OCC3=CC=CN=C3OC,OCC1=CC=CN=C1OC,O=C(O)C1CC2=C(C1)C=CC=C2
Carboxylic-Acid-Esterification,O=C(OCC1=CC(Cl)=NC(Cl)=C1)C2=C(C)C=C(C)C=C2C,OCC1=CC(Cl)=NC(Cl)=C1,O=C(C1=C(C=C(C=C1C)C)C)O
Carboxylic-Acid-Esterification,FC1=CC(F)=CC(CC(OCC2=CC=CN=C2OC)=O)=C1,OCC1=CC=CN=C1OC,OC(CC1=CC(F)=CC(F)=C1)=O
Carboxylic-Acid-Esterification,O=C(OCC(CC1)CCN1C(OCC2=CC=CC=C2)=O)C3=CC=C(OC)C=C3OC,O=C(N1CCC(CO)CC1)OCC2=CC=CC=C2,O=C(C1=CC=C(C=C1OC)OC)O
Carboxylic-Acid-Esterification,O=C(C1=CC=C(C=C1)F)OC(C=C(C=C2OCC3=CC=CC=C3)OCC4=CC=CC=C4)=C2C(C)=O,CC(=O)C1=C(O)C=C(OCC2=CC=CC=C2)C=C1OCC1=CC=CC=C1,OC(=O)C1=CC=C(F)C=C1
Carboxylic-Acid-Esterification,O=C(C1=CC(Br)=NC=C1)OC(C=C(C=C2OCC3=CC=CC=C3)OCC4=CC=CC=C4)=C2C(C)=O,CC(=O)C1=C(O)C=C(OCC2=CC=CC=C2)C=C1OCC1=CC=CC=C1,O=C(O)C1=CC(Br)=NC=C1
Carboxylic-Acid-Esterification,O=C(Oc1c2nc(C)ccc2ccc1)C3=CC(C)=NC4=CC=CC=C34,Cc1ccc2cccc(O)c2n1,O=C(C1=CC(C)=NC2=CC=CC=C12)O
Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OCC2=CC=C(C=C2)N3N=CC=C3,OCC1=CC=C(N2N=CC=C2)C=C1,O=C(O)Cc1cc(F)c(F)cc1F
Carboxylic-Acid-Esterification,O=C(C1CC2=C(C=CC=C2)C1)OCC3=CC=C(C=C3)N4N=CC=C4,OCC1=CC=C(N2N=CC=C2)C=C1,O=C(O)C1CC2=C(C1)C=CC=C2
Carboxylic-Acid-Esterification,O=C(OCC1=CC=CN=C1NC)C2=CC(Br)=CS2,OCC1=CC=CN=C1NC,O=C(C1=CC(Br)=CS1)O
Carboxylic-Acid-Esterification,O=C(OCCN(C1=NC=CC=C1)C)C2=CC(Br)=CS2,CN(CCO)C1=NC=CC=C1,O=C(C1=CC(Br)=CS1)O
Carboxylic-Acid-Esterification,O=C(OCC1=CC=C(C=C1)N2N=CC=C2)C3=C(C=C4C=CC=CC4=C3)OC,OCC1=CC=C(N2N=CC=C2)C=C1,O=C(C1=C(OC)C=C2C=CC=CC2=C1)O
Carboxylic-Acid-Esterification,O=C(OCC1N(CCC1)C)C2=C(C=C3C=CC=CC3=C2)OC,OCC1N(C)CCC1,O=C(C1=C(OC)C=C2C=CC=CC2=C1)O
Carboxylic-Acid-Esterification,O=C(OCC1=NC=CC(Cl)=C1)C2=CC=C(C)C(F)=C2,OCC1=NC=CC(Cl)=C1,O=C(C1=CC=C(C(F)=C1)C)O
Carboxylic-Acid-Esterification,CC(C1=CC=CC=C1O2)=C2C(OCC(CC3)CCN3C(OCC4=CC=CC=C4)=O)=O,O=C(N1CCC(CO)CC1)OCC2=CC=CC=C2,OC(C1=C(C2=CC=CC=C2O1)C)=O
Carboxylic-Acid-Esterification,CC(C1=CC=CC=C1O2)=C2C(OCC3=NC4=CC=C(C=C4N3)Cl)=O,OCC1=NC2=CC=C(Cl)C=C2N1,OC(C1=C(C2=CC=CC=C2O1)C)=O
Carboxylic-Acid-Esterification,O=C(OCC1=CC=C(C=C1)C#C)C2CN(CCO2)CC3=CC=CC=C3,OCC1=CC=C(C#C)C=C1,O=C(C1CN(CC2=CC=CC=C2)CCO1)O
Carboxylic-Acid-Esterification,CC(C1=CC=CC=C1O2)=C2C(OC3CCN(CC3)C)=O,OC1CCN(C)CC1,OC(C1=C(C2=CC=CC=C2O1)C)=O
Carboxylic-Acid-Esterification,O=C(OCC1=NC2=CC=C(C=C2N1)Cl)C3=CC=C(OC)C=C3OC,OCC1=NC2=CC=C(Cl)C=C2N1,O=C(C1=CC=C(C=C1OC)OC)O
Carboxylic-Acid-Esterification,O=C(C1=CC2=C(N1)C=CC(OC)=C2)OCC3OCCC3,OCC1OCCC1,O=C(O)C1=CC2=C(C=CC(OC)=C2)N1
Carboxylic-Acid-Esterification,CC(C1=CC=C(CC2CCCC2=O)C=C1)C(Oc3cnc(OC)cc3)=O,COc1ccc(O)cn1,CC(C(O)=O)C1=CC=C(C=C1)CC2CCCC2=O
Chan-Lam,O=CC1=CC=CC=C1NC2=CN=C(OC)C=C2,O=CC1=CC=CC=C1N,OB(O)C1=CN=C(C=C1)OC
Chan-Lam,CSC1=CC(NC2=CN=C(OC)C=C2)=CC=C1,NC1=CC=CC(SC)=C1,OB(O)C1=CN=C(C=C1)OC
Chan-Lam,FC(F)(F)C1=NC=C(NC2=CC=C(C)C(I)=C2)C=C1,NC1=CC=C(C(I)=C1)C,OB(O)C1=CN=C(C=C1)C(F)(F)F
Chan-Lam,IC1=CC=C(C)C(NC2=CC=CC(NC(C)=O)=C2)=C1,NC1=CC(I)=CC=C1C,OB(O)C1=CC=CC(NC(C)=O)=C1
Chan-Lam,CCOC1=CC=C(NCC23CC4CC(C3)CC(C4)C2)C=N1,NCC12CC3CC(CC(C2)C3)C1,CCOC1=CC=C(C=N1)B(O)O
Chan-Lam,FC1=NC=C(NC2=CC=C(C)C=C2C)C=C1,NC1=CC=C(C=C1C)C,OB(O)C1=CN=C(C=C1)F
Chan-Lam,CCOC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=N1,CC1=CC=C2C(N=CN2)=C1,CCOC1=CC=C(C=N1)B(O)O
Chan-Lam,CCOC1=CC=C(C=N1)NC2=CC=C(C(C)=C2)OC,NC1=CC=C(C(C)=C1)OC,CCOC1=CC=C(C=N1)B(O)O
Chan-Lam,CC1=CC(NC2=CC=C(C=C2)C)=CC=C1F,NC1=CC=C(C=C1)C,OB(O)C1=CC=C(C(C)=C1)F
Chan-Lam,CC1=CC(C)=CC=C1NC2=CC=CN=C2OC,NC1=CC=C(C=C1C)C,OB(O)C1=CC=CN=C1OC
Chan-Lam,CC1=C(C)C(NC2=CC=CN=C2OC)=CC=C1,NC1=CC=CC(C)=C1C,OB(O)C1=CC=CN=C1OC
Chan-Lam,[O-][N+](C(C=C1)=CN=C1NC2=CC3=C(OCO3)C=C2)=O,NC1=NC=C(C=C1)[N+]([O-])=O,OB(O)C1=CC2=C(C=C1)OCO2
Chan-Lam,CC(NC1=CC(N(C=N2)C3=C2C=CC=C3)=CC=C1)=O,C1(C=CC=C2)=C2NC=N1,OB(O)C1=CC=CC(NC(C)=O)=C1
Chan-Lam,CC1=NC=CN1C2=CC=C(SC)C=C2,CC1=NC=CN1,OB(O)C1=CC=C(C=C1)SC
Chan-Lam,CN1CCN(C2=CC=C(F)C(C)=C2)CC1,CN1CCNCC1,OB(O)C1=CC=C(C(C)=C1)F
Chan-Lam,CC1=CC=C(N(C2=CC=C(C=O)S2)C3=CC=C(C)C=C3)C=C1,CC1=CC=C(C=C1)NC2=CC=C(C=C2)C,OB(O)C1=CC=C(S1)C=O
Chan-Lam,CC1=C(C)C(NC2=CC=CC(NC(C)=O)=C2)=CC=C1,NC1=CC=CC(C)=C1C,OB(O)C1=CC=CC(NC(C)=O)=C1
Chan-Lam,CSC(C=C1)=CC=C1NC2=CN=C(F)C=C2,NC1=CC=C(C=C1)SC,OB(O)C1=CN=C(C=C1)F
Chan-Lam,O=C(OC)C1=CC(F)=CC=C1NC2=CC=CN=C2OC,O=C(C1=CC(F)=CC=C1N)OC,OB(O)C1=CC=CN=C1OC
Chan-Lam,COC(N=C1)=CC=C1NC2=CC=CN=C2OC,NC1=CC=C(N=C1)OC,OB(O)C1=CC=CN=C1OC
Chan-Lam,CC1=CC(NC2=CC=C(F)C(C)=C2)=CC=C1OC,NC1=CC=C(C(C)=C1)OC,OB(O)C1=CC=C(C(C)=C1)F
Chan-Lam,CC1=CC=C(N(C2=CN=C(F)C=C2)C3=CC=CC=C3)C=C1,CC1=CC=C(C=C1)NC2=CC=CC=C2,OB(O)C1=CN=C(C=C1)F
Chan-Lam,CC(C)(C)C1=CC=C(NC2=CC(C(C)=O)=CC=C2)C=C1,NC1=CC(C(C)=O)=CC=C1,OB(O)C1=CC=C(C=C1)C(C)(C)C
Chan-Lam,CC1=CC2=C(N1C3=CN=C(OC)N=C3OC)C=CC=C2,CC1=CC2=C(C=CC=C2)N1,OB(O)C1=CN=C(N=C1OC)OC
Chan-Lam,CC1=CC=C2C(N=CN2C3=CN=C(C(F)(F)F)C=C3)=C1,CC1=CC=C2C(N=CN2)=C1,OB(O)C1=CN=C(C=C1)C(F)(F)F
Chan-Lam,CC1=CC=C2C(N=CN2C3=CC=C4OCCOC4=C3)=C1,CC1=CC=C2C(N=CN2)=C1,OB(O)C1=CC=C2OCCOC2=C1
Chan-Lam,CC1=CC=C(NC2=CC=C(OC)C=C2)C=N1,NC1=CC=C(C=C1)OC,OB(C1=CC=C(C)N=C1)O
Chan-Lam,CCOC1=CC2=CC=C(NC3=NC=CC=C3)C=C2C=C1,NC1=NC=CC=C1,OB(O)C1=CC=C2C=C(C=CC2=C1)OCC
Chan-Lam,IC1=CC(NC2=CC3=CC=CC=C3N=C2)=CC=C1C,NC1=CC=C(C(I)=C1)C,OB(O)C1=CC2=CC=CC=C2N=C1
Chan-Lam,CC1=NC=CC=C1NC2=CC=C(OC3=CC=CC=C3)C=C2,CC1=NC=CC=C1N,OB(O)C1=CC=C(C=C1)OC2=CC=CC=C2
Chan-Lam,CCOC1=CC2=CC=C(NC3=CC=CN=C3C)C=C2C=C1,CC1=NC=CC=C1N,OB(O)C1=CC=C2C=C(C=CC2=C1)OCC
Chan-Lam,O=C1N(C2=CC=CC(OCC3=CC=CC=C3)=C2)C=C(C)C=C1,O=C1NC=C(C=C1)C,OB(C1=CC=CC(OCC2=CC=CC=C2)=C1)O
Chan-Lam,N1(C2=CC=CC(OCC3=CC=CC=C3)=C2)CCCC1,N1CCCC1,OB(C1=CC=CC(OCC2=CC=CC=C2)=C1)O
Chan-Lam,CC1=NC=CC=C1NC2=CC3=CC=CC=C3N=C2,CC1=NC=CC=C1N,OB(O)C1=CC2=CC=CC=C2N=C1
Chan-Lam,COC1=NC=C(N2CCCC2)C=N1,N1CCCC1,OB(O)C1=CN=C(N=C1)OC
Chan-Lam,CC(NC1=CC(NC2=CC(OCC)=NC=C2)=CC=C1)=O,NC1=CC(OCC)=NC=C1,OB(O)C1=CC=CC(NC(C)=O)=C1
