SMILES,UV_RT-s,Method
CC(C1=CN(N=C1)C)C(C2=CC=C(C=C2)C)=O,67.2,AM-V
O=C(NC1=CC=C(C=C1)N2N=CC=C2)CC3=CC=C4C(OCO4)=C3,67.2,AM-V
O=C(NC1CCOCC1)C(C2=CC=CC=C2)C3=CC=CC=C3,66.6,AM-V
FC1=CC=C(CCNC(C2=CC=CC=C2)=O)C=C1,66.6,AM-V
O=C(C1=CC=CC=C1C2=O)N2CC#CC3=NC=C(C=C3)C,66.6,AM-V
CC(=O)C1=CC=C(N2C=NC3=CC(C)=CC=C32)S1,66.6,AM-V
COC(C1=C2C=CC(C(C=C3)=CC=C3O)=CC2=NC=C1)=O,66.6,AM-V
ClC1=CC=C(C2=NC=CC=C2OC)C=C1,66.6,AM-V
O=C(N(CC)C(C)C)CC1=CC=C2C(OCO2)=C1,66.6,AM-V
CC(C1=CC=C(C2=CC3=C(N=C2)C=CC=C3)C=C1)=O,66.6,AM-V
CC1=CC=C(C2=C(NN=C2C)C)C=C1[N+]([O-])=O,66,AM-V
O=C(C1=CC=CS1)C(C2=CC=CC3=C2C=NN3)C,66,AM-V
O=C(NCCC1=CC=CC=C1)CC2=CSC=C2,66,AM-V
COC1=CC=CC(C2=C3C(C=CS3)=NC=N2)=C1,66,AM-V
CC1=CC=C(C(N(C)N=C2C)=C2C=O)C=C1,65.4,AM-V
CC1=C(C2=CC=NN2C)SC=C1,65.4,AM-V
O=C(NC1=CC=C(C=C1)OC)C2=CC=C(C=C2N)C,64.8,AM-V
CC1=C(C2=CC3=C(C=C2)NC=C3)C(C)=NO1,64.8,AM-V
O=C(NC1=CC=C(C=C1)N2N=CC=C2)CC3=CC=C4C(OCO4)=C3,64.8,AM-V
CC(C=C1C)=CC=C1C(CC2=NC=CC=C2OC)=O,64.8,AM-V
COC(CCC#CC1=NC2=CC=CC=C2C=C1)=O,64.8,AM-V
O=C(NCCC1=CC=CC=C1)C2=CC=C(S2)C(C)=O,64.2,AM-V
FC1=CC=C(CCNC(CC2=CSC=C2)=O)C=C1,64.2,AM-V
CC(C1=CC2=C(C=NN2)C=C1)=C,63.6,AM-V
COC1=CC(/C=C/C2=CC(C)=NC=C2)=CC=C1O,63.6,AM-V
O=C(NC1=CC=C2N=CC=NC2=C1)C3=CC=CC(Br)=C3,63,AM-V
O=C(NCC1=CC=C(C=C1F)F)CC2=CC=C3C(OCO3)=C2,63,AM-V
COC(=O)c1ccncc1Nc1ccccc1,63,AM-V
FC1=CC=C(F)C(NC2=CC=C3N=CC=NC3=C2)=C1,62.4,AM-V
CC(C1=CC=C(C=C1OC2=CN=CC(C(OC)=O)=C2)F)=O,62.4,AM-V
CN(C(CC(C=C1)=CC(OC)=C1OC)=O)C2=CC=CC=C2,61.8,AM-V
O=CC1=CC=C(C2=CC(F)=C(N)C=C2)S1,61.2,AM-V
ClC1=C(OC)C(NC(C2=NC=CC=N2)=O)=CC=C1,60.6,AM-V
O=C(C1=CC=NC=C1NC2=CC=CC=C2)OC,60.6,AM-V
CC1=CC=C(C2=CN=CC3=CC=CC=C32)C=C1,60.6,AM-V
CC1=CC=C(C2=CN=CC3=CC=CC=C32)C=C1,60.6,AM-V
O=C(NCCC1=CC=CS1)C2=CC(C3=CC=CC=C3O2)=O,60,AM-V
CSC(C=C1)=CC=C1NC(C2=CSC=N2)=O,60,AM-V
FC(C=C1)=CC=C1/C=C/C2=CC=C3N=CC=CC3=C2,60,AM-V
FC(C=C1)=CC=C1/C=C/C2=CC=C3N=CC=CC3=C2,60,AM-V
FC(C=C1)=CC=C1/C=C/C2=CC=C3N=CC=CC3=C2,60,AM-V
O=CC1=CC=C(C2=CC(F)=C(N)C=C2)S1,59.4,AM-V
FC(C=C1)=CC=C1/C=C/C2=CC=C3N=CC=CC3=C2,59.4,AM-V
FC(C=C1)=CC=C1/C=C/C2=CC=C3N=CC=CC3=C2,59.4,AM-V
CC1=CC=CC=C1OC2=CN=CN=C2,58.8,AM-V
CC(C)(C)C1=CC=C(C2=CC=C(N=C2)C)C=C1,58.8,AM-V
CC(C)(C)C1=CC=C(C2=CC=C(N=C2)C)C=C1,58.2,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,58.2,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,58.2,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,58.2,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,58.2,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,58.2,AM-V
COC1=CC=C(C2=NC3=CC=CC=C3C=C2)C=C1,58.2,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,57.6,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,57.6,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,57.6,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,57.6,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,57.6,AM-V
COC1=CN=C(C(C=C2)=CC=C2C(C)=O)C=C1,57.6,AM-V
COC1=CN=C(C(C=C2)=CC=C2C(C)=O)C=C1,57,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,57,AM-V
COC1=CC=C(C2=NC3=CC=CC=C3C=C2)C=C1,56.4,AM-V
COC1=CC=C(C2=NC3=CC=CC=C3C=C2)C=C1,56.4,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,56.4,AM-V
CC1=NC=C(C(C=C2)=CC=C2C)C=N1,56.4,AM-V
COC1=CC=C(C2=NC3=CC=CC=C3C=C2)C=C1,56.4,AM-V
C1(C2=CN=CC3=CC=CC=C32)=CC=CS1,55.2,AM-V
OCC1=NC(C2=CC=C(C=C2)CC)=CC=C1,55.2,AM-V
CN(C)C(/C=C/C1=CC=CN=C1OC(C)C)=O,55.2,AM-V
CC1=C(C)C(C2=CN=C(C=C2)N3CCOCC3)=CC=C1,54,AM-V
OCC1=NC(C2=CC=C(C=C2)CC)=CC=C1,54,AM-V
OCC1=NC(C2=CC(C)=CC(C)=C2)=CC=C1,54,AM-V
COC1=CC=C(C2=CC=C3N=CC=CC3=C2)C=C1F,53.4,AM-V
COC1=CC=C(C2=CC=C3N=CC=CC3=C2)C=C1F,53.4,AM-V
OCC1=NC(C2=CC(C)=CC(C)=C2)=CC=C1,53.4,AM-V
CC1=NC=CN=C1C(CC2=NC3=CC=CC=C3C=C2)=O,53.4,AM-V
CC(C)CNC(C1=NC2=CC=CC=C2N=C1)=O,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.8,AM-V
CC(C=CC=C1OC)=C1OC2=CC=C3N=CC=CC3=C2,52.2,AM-V
