feature,importance
fp_231,144.93032836914062
fp_614,144.73191833496094
fp_31,142.36767578125
fp_762,142.0016632080078
fp_613,141.9241485595703
fp_1,141.69996643066406
fp_530,141.5183563232422
fp_677,141.0057373046875
col768,140.67921447753906
fp_203,140.62660217285156
col517,140.3935546875
fp_531,139.7127685546875
fp_155,139.00083923339844
fp_593,137.63926696777344
fp_576,137.51942443847656
fp_551,137.02561950683594
fp_654,136.6260528564453
fp_834,136.57228088378906
fp_301,136.38136291503906
fp_915,133.54550170898438
fp_792,132.3138885498047
fp_672,130.9273681640625
col462,130.60865783691406
fp_852,129.8271484375
fp_938,129.7264404296875
fp_122,129.3528594970703
fp_1020,128.93521118164062
fp_498,128.6317596435547
col764,127.96231079101562
col720,127.74911499023438
fp_294,125.90371704101562
col806,125.51095581054688
fp_25,123.62539672851562
fp_76,123.39395904541016
fp_966,123.38574981689453
fp_74,123.0457763671875
fp_760,122.87165069580078
col781,120.77487182617188
fp_269,120.41703796386719
fp_922,120.36312866210938
fp_129,119.29569244384766
fp_820,118.64027404785156
fp_592,118.30174255371094
col779,118.22418212890625
fp_728,117.93199157714844
fp_277,117.73429870605469
fp_867,117.46620178222656
fp_118,117.3000259399414
fp_616,117.00723266601562
fp_980,116.76800537109375
fp_140,115.91856384277344
fp_799,115.91300201416016
fp_489,115.54605865478516
fp_646,114.76496887207031
fp_667,114.47022247314453
fp_974,114.43462371826172
fp_702,114.30496215820312
fp_890,114.22096252441406
fp_910,113.22286224365234
fp_878,113.20006561279297
fp_293,112.59739685058594
fp_144,112.58736419677734
col91,112.51234436035156
fp_409,111.30534362792969
fp_831,110.30641174316406
fp_94,109.69770050048828
fp_1006,109.6147689819336
fp_471,109.51970672607422
fp_827,108.88406372070312
fp_7,108.31970977783203
fp_395,108.20005798339844
fp_172,108.07890319824219
fp_700,107.9853286743164
fp_717,107.67882537841797
fp_961,107.28736877441406
fp_726,105.81187438964844
col84,105.62911224365234
fp_355,105.61766815185547
fp_491,105.31432342529297
fp_392,105.17842864990234
fp_801,105.12523651123047
fp_807,104.60894775390625
fp_609,104.25846099853516
col774,103.3397216796875
fp_352,103.17273712158203
fp_146,102.47034454345703
fp_533,102.4077377319336
fp_714,101.94722747802734
fp_540,100.99140930175781
fp_555,100.80220794677734
fp_113,100.153076171875
fp_50,99.88604736328125
fp_216,99.55685424804688
col347,99.1826171875
fp_486,98.93876647949219
fp_796,97.99451446533203
fp_367,97.47711181640625
fp_793,95.6405029296875
fp_1012,95.1951675415039
fp_47,94.33635711669922
fp_458,93.947998046875
fp_484,93.6703109741211
fp_271,93.44585418701172
fp_374,92.99508666992188
fp_176,92.87372589111328
H_bond_acceptors,92.8602066040039
fp_513,92.4971694946289
fp_49,92.35775756835938
fp_212,92.1888198852539
fp_407,92.15721130371094
fp_868,91.7998275756836
fp_162,91.27088928222656
fp_38,91.06970977783203
fp_741,90.00853729248047
col793,89.9422607421875
fp_260,89.77621459960938
col80,89.60782623291016
fp_139,89.26416778564453
fp_251,88.89755249023438
fp_336,88.79454803466797
fp_585,88.77363586425781
fp_493,88.73026275634766
fp_180,88.6188735961914
fp_130,88.29134368896484
fp_295,88.10423278808594
fp_893,87.83613586425781
fp_391,87.66563415527344
fp_723,87.2834243774414
fp_398,86.9962387084961
fp_40,86.76580047607422
fp_214,86.70672607421875
fp_133,86.64624786376953
fp_190,86.39092254638672
fp_132,85.7989273071289
fp_330,85.6318359375
fp_119,85.38375854492188
fp_512,85.30834197998047
fp_687,84.87000274658203
fp_607,84.82023620605469
fp_967,84.7877426147461
fp_946,84.15384674072266
fp_806,84.11624908447266
fp_929,83.80470275878906
fp_625,83.78915405273438
fp_449,83.50858306884766
fp_744,83.43177795410156
fp_889,83.38878631591797
fp_872,83.12550354003906
fp_527,82.83929443359375
fp_781,82.55101013183594
fp_128,82.07093048095703
fp_235,82.0003890991211
fp_138,81.96904754638672
fp_325,81.9615707397461
fp_310,81.83029174804688
fp_772,81.30670166015625
fp_805,81.1482925415039
fp_914,80.38064575195312
fp_845,80.28050231933594
col745,79.39363861083984
fp_811,78.82890319824219
fp_333,78.74925994873047
fp_289,78.43865966796875
fp_773,78.38371276855469
fp_173,78.16465759277344
fp_941,77.73763275146484
fp_433,77.59596252441406
fp_236,76.97526550292969
fp_659,76.91398620605469
fp_80,76.75244140625
fp_951,76.59607696533203
fp_564,76.33099365234375
fp_109,76.24604797363281
fp_904,76.00711822509766
fp_701,75.71234130859375
fp_461,75.42210388183594
fp_12,75.28528594970703
fp_20,75.10028839111328
fp_319,75.04129028320312
fp_668,75.00666809082031
